time_sec,peak
25200,0
25500,0
25800,0
26100,1
26400,0
26580,1
26760,1
26940,0
27120,1
27360,1
27540,1
27720,1
27900,1
28080,1
28260,1
28440,1
28620,1
28800,0
29100,0
29400,0
29700,0
29880,0
30060,0
30240,0
30420,0
30600,0
30900,0
31200,0
31500,0
31680,0
31860,0
32040,0
32220,0
32400,0
32700,0
33000,0
33300,0
33600,0
33900,0
34200,0
34500,0
34800,0
34980,1
35160,1
35400,0
35580,1
35760,1
36000,0
36300,0
36600,0
36900,0
37200,0
37800,0
38400,0
39000,0
39600,0
40200,0
40800,0
41400,0
41700,0
42000,0
42300,0
42600,0
42900,0
43200,0
43500,1
43800,0
44100,1
44400,0
44580,1
44760,1
45000,0
45300,1
45600,0
46200,0
46800,0
47100,0
47400,0
48000,0
48180,1
48360,1
48600,0
48780,1
48960,1
49200,0
49500,1
49800,0
50100,1
50400,0
51000,0
51600,0
52200,0
52800,0
53400,0
54000,0
54600,0
55200,0
55800,0
56100,0
56400,1
57000,0
57180,1
57360,1
57600,0
57900,1
58200,0
58800,0
59400,0
60000,0
60600,0
61200,0
61800,0
62100,0
62400,0
62580,0
62760,0
63000,0
63180,0
63360,0
63600,0
63780,0
63960,0
64200,0
64380,0
64560,0
64800,0
64980,0
65160,0
65400,0
65580,0
65760,0
66000,0
66180,1
66360,1
66600,0
66900,0
67200,0
67500,0
67800,0
68100,0
68400,0
69000,0
69600,0
70200,0
70800,0
71400,0
72000,0
72900,0
73800,0
74700,0
75600,0
76800,0
78000,0
79200,0
80100,0
81000,0
81600,0
