# index,lng,lat,time
0.000000000000000000e+00,1.139914749050710014e+02,2.259955786390969834e+01,8.106148409893993403e+02
1.000000000000000000e+00,1.139912054856499992e+02,2.259939844424230060e+01,8.123514211886305247e+02
2.000000000000000000e+00,1.139908711113729964e+02,2.259922735830249962e+01,8.033541247484909036e+02
3.000000000000000000e+00,1.139904388685420003e+02,2.259885562021529992e+01,7.931259398496240465e+02
4.000000000000000000e+00,1.139903585497600034e+02,2.259831847806620075e+01,7.813837209302325846e+02
5.000000000000000000e+00,1.139903034931279961e+02,2.259785235343800025e+01,7.659835355285962351e+02
6.000000000000000000e+00,1.139902711229910039e+02,2.259741754754340093e+01,7.467776119402984705e+02
7.000000000000000000e+00,1.139904258274570026e+02,2.259706631776419883e+01,7.448907103825137028e+02
8.000000000000000000e+00,1.139908517720599974e+02,2.259701034288229948e+01,7.336959459459459367e+02
9.000000000000000000e+00,1.139912181540939997e+02,2.259710357646969925e+01,7.282954545454545041e+02
1.000000000000000000e+01,1.139914776155890053e+02,2.259716247912770015e+01,7.228571428571428896e+02
1.100000000000000000e+01,1.139916893509130063e+02,2.259722740684430065e+01,7.193256704980842642e+02
1.200000000000000000e+01,1.139919824273799946e+02,2.259722184790789967e+01,7.158844086021505291e+02
1.300000000000000000e+01,1.139923053777690001e+02,2.259707510016719922e+01,7.068282674772036671e+02
1.400000000000000000e+01,1.139925837214209992e+02,2.259683472845970087e+01,6.901478599221790091e+02
1.500000000000000000e+01,1.139928561488460019e+02,2.259659663332750057e+01,6.877068965517241850e+02
1.600000000000000000e+01,1.139932192080910056e+02,2.259628521645370114e+01,6.655600907029478321e+02
1.700000000000000000e+01,1.139935269643639941e+02,2.259611910753369912e+01,6.586862745098038658e+02
1.800000000000000000e+01,1.139938278310419975e+02,2.259603930155899931e+01,6.616958762886597469e+02
1.900000000000000000e+01,1.139940804615600030e+02,2.259602086955219846e+01,6.592000000000000455e+02
2.000000000000000000e+01,1.139942697397510045e+02,2.259602713932079965e+01,6.495396825396825307e+02
2.100000000000000000e+01,1.139944996794550036e+02,2.259564909847550140e+01,6.500296347346657058e+02
2.200000000000000000e+01,1.139946522896569974e+02,2.259556506705749968e+01,6.196518218623481289e+02
2.300000000000000000e+01,1.139949081031670062e+02,2.259569588204789881e+01,6.077968337730870871e+02
2.400000000000000000e+01,1.139954428636509931e+02,2.259596725240979964e+01,5.972169811320754889e+02
2.500000000000000000e+01,1.139958625247069932e+02,2.259647536258719924e+01,5.888043478260869961e+02
2.600000000000000000e+01,1.139961553319240011e+02,2.259684000898160150e+01,5.769037974683544689e+02
2.700000000000000000e+01,1.139965089056979934e+02,2.259723211932610099e+01,5.700987394957983270e+02
2.800000000000000000e+01,1.139967628107740012e+02,2.259753192486260076e+01,5.599913644214162787e+02
2.900000000000000000e+01,1.139970752096400020e+02,2.259792172207420080e+01,5.511673913043478024e+02
3.000000000000000000e+01,1.139973982727699990e+02,2.259828206551049945e+01,5.431536312849161732e+02
3.100000000000000000e+01,1.139976236260770008e+02,2.259851550794139996e+01,5.330265151515151274e+02
3.200000000000000000e+01,1.139978420678040010e+02,2.259877014916200011e+01,5.333881578947368780e+02
3.300000000000000000e+01,1.139981028487290047e+02,2.259904572113989829e+01,5.244360465116278647e+02
3.400000000000000000e+01,1.139984657031239976e+02,2.259931880359949830e+01,5.209102990033222795e+02
3.500000000000000000e+01,1.139987847370220067e+02,2.259953544022100047e+01,5.101911262798634539e+02
3.600000000000000000e+01,1.139990293097570060e+02,2.259968330224180022e+01,5.092520325203252014e+02
3.700000000000000000e+01,1.139993834155559966e+02,2.259989149447979884e+01,5.018294797687861433e+02
3.800000000000000000e+01,1.139996520174809973e+02,2.260000980639609836e+01,4.773041958041957855e+02
3.900000000000000000e+01,1.139994109251159955e+02,2.260023733209279939e+01,4.716313868613138425e+02
4.000000000000000000e+01,1.139991048099019935e+02,2.260049322179100173e+01,4.680884955752212591e+02
4.100000000000000000e+01,1.139989377776879991e+02,2.260068406447649991e+01,4.553063973063972867e+02
4.200000000000000000e+01,1.139987960011969932e+02,2.260093842915980034e+01,4.574143426294820642e+02
4.300000000000000000e+01,1.139987768549730021e+02,2.260120179294669995e+01,4.505519713261648462e+02
4.400000000000000000e+01,1.139986465078300029e+02,2.260160305235019962e+01,4.447725118483412530e+02
4.500000000000000000e+01,1.139983151061530009e+02,2.260199020581579887e+01,4.316267361111110858e+02
4.600000000000000000e+01,1.139981293504080071e+02,2.260242496194949879e+01,4.193134328358208904e+02
4.700000000000000000e+01,1.139980182086849965e+02,2.260277812685999876e+01,4.054244604316546656e+02
4.800000000000000000e+01,1.139980355355489934e+02,2.260305220361649958e+01,3.920383693045563405e+02
4.900000000000000000e+01,1.139978101909979955e+02,2.260332515016889943e+01,3.832678843226788672e+02
5.000000000000000000e+01,1.139971483023840051e+02,2.260309373569100089e+01,3.655406360424028094e+02
5.100000000000000000e+01,1.139965488346779949e+02,2.260294241550869998e+01,3.554886792452830377e+02
5.200000000000000000e+01,1.139959299876980054e+02,2.260292983788610144e+01,3.447826086956521863e+02
5.300000000000000000e+01,1.139955090763519934e+02,2.260295307122600050e+01,3.268062499999999773e+02
5.400000000000000000e+01,1.139952087339130031e+02,2.260321745888790090e+01,3.207424242424242493e+02
5.500000000000000000e+01,1.139949066769350026e+02,2.260356579758600049e+01,3.138891352549889007e+02
5.600000000000000000e+01,1.139944632056160003e+02,2.260402142372580059e+01,3.057900763358778704e+02
5.700000000000000000e+01,1.139940430799100000e+02,2.260442427094750073e+01,2.814916030534351421e+02
5.800000000000000000e+01,1.139937426996770000e+02,2.260499081032330082e+01,2.604593023255814046e+02
5.900000000000000000e+01,1.139934575333900000e+02,2.260544716672779941e+01,2.481203814064362234e+02
6.000000000000000000e+01,1.139941026453700061e+02,2.260578557216700091e+01,2.345844594594594525e+02
6.100000000000000000e+01,1.139947797243290069e+02,2.260616590838209916e+01,2.231326732673267372e+02
6.200000000000000000e+01,1.139951626229139947e+02,2.260630154269739833e+01,2.135089058524173140e+02
6.300000000000000000e+01,1.139952363826759978e+02,2.260652455058979982e+01,1.987572254335260027e+02
6.400000000000000000e+01,1.139952801852760018e+02,2.260670643722389883e+01,1.810681114551083510e+02
6.500000000000000000e+01,1.139957766392819991e+02,2.260661826151050136e+01,1.692144112478031559e+02
6.600000000000000000e+01,1.139964603026730003e+02,2.260638665677170067e+01,1.590473186119873787e+02
6.700000000000000000e+01,1.139970585975689943e+02,2.260615206568269997e+01,1.387452531645569707e+02
6.800000000000000000e+01,1.139974998698370001e+02,2.260597841798449892e+01,1.270841423948220097e+02
6.900000000000000000e+01,1.139977283084050015e+02,2.260590510298780131e+01,1.217613293051359449e+02
7.000000000000000000e+01,1.139981135386090045e+02,2.260601293243369980e+01,1.130610079575596814e+02
7.100000000000000000e+01,1.139982947541750065e+02,2.260601262907029962e+01,8.836029411764705799e+01
