# index,lng,lat,time
0.000000000000000000e+00,1.139914749050710014e+02,2.259955786390969834e+01,0.000000000000000000e+00
1.000000000000000000e+00,1.139912054856499992e+02,2.259939844424230060e+01,6.711409395973154390e-02
2.000000000000000000e+00,1.139908711113729964e+02,2.259922735830249962e+01,2.120418848167539227e+00
3.000000000000000000e+00,1.139904388685420003e+02,2.259885562021529992e+01,1.075772357723577244e+01
4.000000000000000000e+00,1.139903585497600034e+02,2.259831847806620075e+01,2.365022421524663798e+01
5.000000000000000000e+00,1.139903034931279961e+02,2.259785235343800025e+01,3.434343434343434609e+01
6.000000000000000000e+00,1.139902711229910039e+02,2.259741754754340093e+01,4.306747404844290372e+01
7.000000000000000000e+00,1.139904258274570026e+02,2.259706631776419883e+01,5.748755020080321287e+01
8.000000000000000000e+00,1.139908517720599974e+02,2.259701034288229948e+01,7.307783018867924341e+01
9.000000000000000000e+00,1.139912181540939997e+02,2.259710357646969925e+01,7.887804878048780211e+01
1.000000000000000000e+01,1.139914776155890053e+02,2.259716247912770015e+01,8.483152173913043725e+01
1.100000000000000000e+01,1.139916893509130063e+02,2.259722740684430065e+01,8.690707964601769220e+01
1.200000000000000000e+01,1.139919824273799946e+02,2.259722184790789967e+01,9.427341772151898169e+01
1.300000000000000000e+01,1.139923053777690001e+02,2.259707510016719922e+01,1.099122171945701325e+02
1.400000000000000000e+01,1.139925837214209992e+02,2.259683472845970087e+01,1.234349030470914101e+02
1.500000000000000000e+01,1.139928561488460019e+02,2.259659663332750057e+01,1.298711484593837611e+02
1.600000000000000000e+01,1.139932192080910056e+02,2.259628521645370114e+01,1.397558685446009292e+02
1.700000000000000000e+01,1.139935269643639941e+02,2.259611910753369912e+01,1.465477941176470722e+02
1.800000000000000000e+01,1.139938278310419975e+02,2.259603930155899931e+01,1.494477611940298516e+02
1.900000000000000000e+01,1.139940804615600030e+02,2.259602086955219846e+01,1.584456521739130324e+02
2.000000000000000000e+01,1.139942697397510045e+02,2.259602713932079965e+01,1.614266917293232950e+02
2.100000000000000000e+01,1.139944996794550036e+02,2.259564909847550140e+01,1.738967551622418739e+02
2.200000000000000000e+01,1.139946522896569974e+02,2.259556506705749968e+01,1.758795811518324683e+02
2.300000000000000000e+01,1.139949081031670062e+02,2.259569588204789881e+01,2.030332512315270890e+02
2.400000000000000000e+01,1.139954428636509931e+02,2.259596725240979964e+01,2.199373177842565497e+02
2.500000000000000000e+01,1.139958625247069932e+02,2.259647536258719924e+01,2.302841409691629906e+02
2.600000000000000000e+01,1.139961553319240011e+02,2.259684000898160150e+01,2.396322418136020076e+02
2.700000000000000000e+01,1.139965089056979934e+02,2.259723211932610099e+01,2.487924528301886653e+02
2.800000000000000000e+01,1.139967628107740012e+02,2.259753192486260076e+01,2.577001795332136567e+02
2.900000000000000000e+01,1.139970752096400020e+02,2.259792172207420080e+01,2.680157657657657637e+02
3.000000000000000000e+01,1.139973982727699990e+02,2.259828206551049945e+01,2.778338557993730547e+02
3.100000000000000000e+01,1.139976236260770008e+02,2.259851550794139996e+01,2.806008230452674752e+02
3.200000000000000000e+01,1.139978420678040010e+02,2.259877014916200011e+01,2.880788530465949862e+02
3.300000000000000000e+01,1.139981028487290047e+02,2.259904572113989829e+01,2.910161290322580498e+02
3.400000000000000000e+01,1.139984657031239976e+02,2.259931880359949830e+01,3.013128834355828189e+02
3.500000000000000000e+01,1.139987847370220067e+02,2.259953544022100047e+01,3.103884892086330751e+02
3.600000000000000000e+01,1.139990293097570060e+02,2.259968330224180022e+01,3.145509641873278497e+02
3.700000000000000000e+01,1.139993834155559966e+02,2.259989149447979884e+01,3.810843720038350853e+02
3.800000000000000000e+01,1.139996520174809973e+02,2.260000980639609836e+01,3.419100000000000250e+02
3.900000000000000000e+01,1.139994109251159955e+02,2.260023733209279939e+01,3.478000000000000114e+02
4.000000000000000000e+01,1.139991048099019935e+02,2.260049322179100173e+01,3.558195876288659747e+02
4.100000000000000000e+01,1.139989377776879991e+02,2.260068406447649991e+01,3.796990740740740762e+02
4.200000000000000000e+01,1.139987960011969932e+02,2.260093842915980034e+01,3.646632302405498081e+02
4.300000000000000000e+01,1.139987768549730021e+02,2.260120179294669995e+01,3.776113537117904002e+02
4.400000000000000000e+01,1.139986465078300029e+02,2.260160305235019962e+01,3.754708737864077648e+02
4.500000000000000000e+01,1.139983151061530009e+02,2.260199020581579887e+01,4.002728093947605998e+02
4.600000000000000000e+01,1.139981293504080071e+02,2.260242496194949879e+01,4.088061797752808957e+02
4.700000000000000000e+01,1.139980182086849965e+02,2.260277812685999876e+01,4.140972222222222285e+02
4.800000000000000000e+01,1.139980355355489934e+02,2.260305220361649958e+01,4.201366120218578999e+02
4.900000000000000000e+01,1.139978101909979955e+02,2.260332515016889943e+01,4.469674981103552796e+02
5.000000000000000000e+01,1.139971483023840051e+02,2.260309373569100089e+01,4.584185567010309228e+02
5.100000000000000000e+01,1.139965488346779949e+02,2.260294241550869998e+01,4.685521821631878652e+02
5.200000000000000000e+01,1.139959299876980054e+02,2.260292983788610144e+01,4.923737113402061709e+02
5.300000000000000000e+01,1.139955090763519934e+02,2.260295307122600050e+01,5.108647959183673493e+02
5.400000000000000000e+01,1.139952087339130031e+02,2.260321745888790090e+01,5.509353932584269842e+02
5.500000000000000000e+01,1.139949066769350026e+02,2.260356579758600049e+01,5.002350230414746761e+02
